cohort,schoolid_ulcs,schoolname,sector,rate_type,group,subgroup,denom,num,score
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,95,31,32.63
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,32,13,40.63
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Ethnicity,Asian,2,s,s
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,113,41,36.28
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,7,s,s
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Ethnicity,White,4,s,s
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Gender,Female,80,28,35
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,Gender,Male,47,16,34.04
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,113,42,37.17
2013-2014,8070,OIC CADI,Alternative,4-Year Graduation Rate,IEP,IEP,14,2,14.29
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,All Students,All Students,114,57,50
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,ELL,Non-EL,113,s,s
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,84,42,50
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,30,15,50
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Ethnicity,Asian,2,s,s
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,100,52,52
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,7,s,s
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Ethnicity,White,4,s,s
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Gender,Female,69,38,55.07
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,Gender,Male,45,19,42.22
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,99,53,53.54
2013-2014,8070,OIC CADI,Alternative,5-Year Graduation Rate,IEP,IEP,15,4,26.67
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,All Students,All Students,123,59,47.97
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,ELL,Non-EL,122,s,s
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,95,44,46.32
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,28,15,53.57
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Ethnicity,Asian,2,s,s
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,110,54,49.09
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Ethnicity,White,4,s,s
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Gender,Female,73,38,52.05
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,Gender,Male,50,21,42
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,108,54,50
2013-2014,8070,OIC CADI,Alternative,6-Year Graduation Rate,IEP,IEP,15,5,33.33
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,All Students,All Students,117,45,38.46
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,ELL,EL,2,s,s
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,ELL,Non-EL,115,s,s
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,104,42,40.38
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,13,3,23.08
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Ethnicity,Asian,3,s,s
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,96,37,38.54
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,9,s,s
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Ethnicity,White,7,s,s
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Gender,Female,69,27,39.13
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,Gender,Male,48,18,37.5
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,99,37,37.37
2013-2014,8080,Excel Academy North,Alternative,4-Year Graduation Rate,IEP,IEP,18,8,44.44
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,All Students,All Students,119,64,53.78
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,ELL,EL,3,s,s
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,ELL,Non-EL,116,s,s
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,109,60,55.05
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,10,4,40
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Ethnicity,Asian,3,s,s
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,100,53,53
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,8,s,s
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Ethnicity,White,6,s,s
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Gender,Female,69,38,55.07
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,Gender,Male,50,26,52
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,99,53,53.54
2013-2014,8080,Excel Academy North,Alternative,5-Year Graduation Rate,IEP,IEP,20,11,55
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,All Students,All Students,116,67,57.76
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,ELL,EL,2,s,s
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,ELL,Non-EL,114,s,s
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,106,63,59.43
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,10,4,40
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Ethnicity,Asian,3,s,s
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,97,56,57.73
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,8,s,s
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,2,s,s
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Ethnicity,White,6,s,s
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Gender,Female,65,40,61.54
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,Gender,Male,51,27,52.94
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,95,55,57.89
2013-2014,8080,Excel Academy North,Alternative,6-Year Graduation Rate,IEP,IEP,21,12,57.14
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,All Students,All Students,140,131,93.57
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,ELL,EL,14,14,100
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,ELL,Non-EL,126,117,92.86
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,86,81,94.19
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,54,50,92.59
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Ethnicity,Asian,8,s,s
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,47,41,87.23
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,40,39,97.5
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,4,s,s
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Ethnicity,White,41,39,95.12
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Gender,Female,50,46,92
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,Gender,Male,90,85,94.44
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,106,103,97.17
2013-2014,8090,Swenson Arts and Technology High School,District,4-Year Graduation Rate,IEP,IEP,34,28,82.35
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,All Students,All Students,140,131,93.57
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,ELL,EL,14,14,100
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,ELL,Non-EL,126,117,92.86
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,86,81,94.19
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,54,50,92.59
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Ethnicity,Asian,8,s,s
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,47,41,87.23
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,40,39,97.5
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,4,s,s
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Ethnicity,White,41,39,95.12
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Gender,Female,50,46,92
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,Gender,Male,90,85,94.44
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,106,103,97.17
2013-2014,8090,Swenson Arts and Technology High School,District,5-Year Graduation Rate,IEP,IEP,34,28,82.35
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,All Students,All Students,139,132,94.96
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,ELL,EL,14,14,100
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,ELL,Non-EL,125,118,94.4
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,85,82,96.47
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,54,50,92.59
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Ethnicity,Asian,8,s,s
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,46,41,89.13
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,40,39,97.5
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,4,s,s
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Ethnicity,White,41,40,97.56
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Gender,Female,50,46,92
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,Gender,Male,89,86,96.63
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,106,103,97.17
2013-2014,8090,Swenson Arts and Technology High School,District,6-Year Graduation Rate,IEP,IEP,33,29,87.88
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,All Students,All Students,52,2,3.85
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,ELL,Non-EL,51,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,26,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,26,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Ethnicity,Asian,4,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,33,1,3.03
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Ethnicity,White,8,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Gender,Female,26,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,Gender,Male,26,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,50,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,4-Year Graduation Rate,IEP,IEP,2,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,All Students,All Students,64,9,14.06
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,ELL,Non-EL,63,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,33,1,3.03
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,31,8,25.81
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Ethnicity,Asian,6,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,42,4,9.52
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,8,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Ethnicity,White,7,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Gender,Female,33,5,15.15
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,Gender,Male,31,4,12.9
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,60,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,5-Year Graduation Rate,IEP,IEP,4,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,All Students,All Students,66,18,27.27
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,ELL,Non-EL,65,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,35,5,14.29
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,31,13,41.94
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Ethnicity,Asian,7,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,42,10,23.81
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,9,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Ethnicity,White,7,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Gender,Female,35,10,28.57
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,Gender,Male,31,8,25.81
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,61,s,s
2013-2014,8100,Gateway to College - Community College of Philadelphia,Alternative,6-Year Graduation Rate,IEP,IEP,5,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,All Students,All Students,185,86,46.49
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,ELL,EL,22,5,22.73
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,ELL,Non-EL,163,81,49.69
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,125,55,44
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,60,31,51.67
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,3,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,74,33,44.59
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,89,39,43.82
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,8,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Ethnicity,White,11,7,63.64
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Gender,Female,112,52,46.43
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,Gender,Male,73,34,46.58
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,178,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,4-Year Graduation Rate,IEP,IEP,7,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,All Students,All Students,171,106,61.99
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,ELL,EL,22,7,31.82
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,ELL,Non-EL,149,99,66.44
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,118,67,56.78
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,53,39,73.58
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,2,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,65,41,63.08
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,89,49,55.06
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,7,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Ethnicity,White,8,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Gender,Female,100,64,64
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,Gender,Male,71,42,59.15
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,158,100,63.29
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,5-Year Graduation Rate,IEP,IEP,13,6,46.15
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,All Students,All Students,192,114,59.38
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,ELL,EL,23,9,39.13
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,ELL,Non-EL,169,105,62.13
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,133,73,54.89
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,59,41,69.49
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,4,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,72,43,59.72
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,98,55,56.12
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,7,s,s
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Ethnicity,White,11,8,72.73
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Gender,Female,112,69,61.61
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,Gender,Male,80,45,56.25
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,178,108,60.67
2013-2014,8190,One Bright Ray - Fairhill Campus,Alternative,6-Year Graduation Rate,IEP,IEP,14,6,42.86
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,All Students,All Students,85,22,25.88
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,ELL,Non-EL,84,s,s
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,72,18,25
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,13,4,30.77
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,79,21,26.58
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,2,s,s
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,3,s,s
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Ethnicity,White,1,s,s
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Gender,Female,51,14,27.45
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,Gender,Male,34,8,23.53
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,72,18,25
2013-2014,8450,YESPhilly,Alternative,4-Year Graduation Rate,IEP,IEP,13,4,30.77
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,All Students,All Students,74,37,50
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,ELL,Non-EL,73,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,65,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,9,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,1,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,69,34,49.28
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,2,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Ethnicity,White,1,s,s
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Gender,Female,40,25,62.5
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,Gender,Male,34,12,35.29
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,63,32,50.79
2013-2014,8450,YESPhilly,Alternative,5-Year Graduation Rate,IEP,IEP,11,5,45.45
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,All Students,All Students,84,43,51.19
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,ELL,EL,1,s,s
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,ELL,Non-EL,83,s,s
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,71,38,53.52
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,13,5,38.46
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,1,s,s
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,77,39,50.65
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,2,s,s
2013-2014,8450,YESPhilly,Alternative,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,3,s,s
